signal_date,execution_date,pre_trade_nav,end_nav,total_cost,buy_scale,attempted_order_count,executed_order_count,blocked_order_count,replacement_buy_count
2024-01-02,2024-01-03,1.0,0.9994120000000014,0.0005880000000000001,1.0,100,98,2,0
2024-01-03,2024-01-04,0.9958858797397407,0.9956316367480404,0.00025424299170029367,1.0,32,30,2,0
2024-01-04,2024-01-05,0.9894547520054748,0.9891456672542271,0.00030908475124752637,1.0,38,37,1,0
2024-01-05,2024-01-08,0.9699860182204069,0.9694139979455293,0.0005720202748775364,1.0,69,69,0,0
2024-01-08,2024-01-09,0.950271208942421,0.9499319512408986,0.0003392577015224012,1.0,42,42,0,0
2024-01-09,2024-01-10,0.9455576565154127,0.9451378777345231,0.00041977878088972787,1.0,52,52,0,0
2024-01-10,2024-01-11,0.9365304122192367,0.9362129969061542,0.0003174153130824591,1.0,40,40,0,0
2024-01-11,2024-01-12,0.9552793815839062,0.9547636211995949,0.0005157603843112731,1.0,64,63,1,0
2024-01-12,2024-01-15,0.9391099425280005,0.9388875350865524,0.00022240744144806543,1.0,29,28,1,0
2024-01-15,2024-01-16,0.9433438920682384,0.9430816358043085,0.0002622562639299956,1.0,33,33,0,0
2024-01-16,2024-01-17,0.9377450756115286,0.9375365758430292,0.00020849976849937634,1.0,26,26,0,0
2024-01-17,2024-01-18,0.9068245565429753,0.9065148175083269,0.00030973903464839576,1.0,40,40,0,0
2024-01-18,2024-01-19,0.9095238216415417,0.9092899082065857,0.00023391343495592556,1.0,30,30,0,0
2024-01-19,2024-01-22,0.8992637373495534,0.8990182718642791,0.00024546548527431514,1.0,32,32,0,0
2024-01-22,2024-01-23,0.8450193796136156,0.8445999493005578,0.00041943031305787876,1.0,58,58,0,0
2024-01-23,2024-01-24,0.8639198590966477,0.8635382861801615,0.00038157291648625456,1.0,52,52,0,0
2024-01-24,2024-01-25,0.8570968721192858,0.8569521625727169,0.00014470954656892142,1.0,20,20,0,0
2024-01-25,2024-01-26,0.8813790016057962,0.8810789575949539,0.0003000440108423097,1.0,40,40,0,0
2024-01-26,2024-01-29,0.8639275209843889,0.8636171549675211,0.0003103660168676437,1.0,42,42,0,0
2024-01-29,2024-01-30,0.8307793121231803,0.8306510738367021,0.00012823828647830083,1.0,18,18,0,0
2024-01-30,2024-01-31,0.8060612411236818,0.8058962544357751,0.0001649866879067312,1.0,24,24,0,0
2024-01-31,2024-02-01,0.770222619525203,0.7700112239425632,0.00021139558264000516,1.0,32,32,0,0
2024-02-01,2024-02-02,0.7757002075483027,0.7754923891112774,0.00020781843702526076,1.0,32,31,1,0
2024-02-02,2024-02-05,0.7312096977224191,0.7309378293985725,0.00027186832384644676,1.0,43,43,0,0
2024-02-05,2024-02-06,0.6823879298869002,0.6820152135436741,0.00037271634322620596,1.0,64,63,1,0
2024-02-06,2024-02-07,0.750492791898994,0.7500430719199238,0.00044971997907021055,1.0,71,71,0,0
2024-02-07,2024-02-08,0.7831828171242358,0.7828908175394329,0.0002919995848028427,1.0,44,44,0,0
2024-02-08,2024-02-19,0.8366223236116505,0.8358651463239333,0.0007571772877165832,1.0,108,107,1,0
2024-02-19,2024-02-20,0.8203511592213626,0.8196809903936746,0.0006701688276878344,1.0,97,97,0,0
2024-02-20,2024-02-21,0.8207645590809362,0.8201267548206175,0.0006378042603184787,1.0,92,92,0,0
2024-02-21,2024-02-22,0.8343441219704477,0.833776255043796,0.0005678669266520144,1.0,80,80,0,0
2024-02-22,2024-02-23,0.8582813297472213,0.8579286826342006,0.0003526471130205679,1.0,48,48,0,0
2024-02-23,2024-02-26,0.8767826657678688,0.876465409746888,0.00031725602098064195,1.0,42,42,0,0
2024-02-26,2024-02-27,0.88136687421378,0.8807958603872971,0.0005710138264829644,1.0,76,76,0,0
2024-02-27,2024-02-28,0.908862658121471,0.9082654078831216,0.0005972502383495347,1.0,78,78,0,0
2024-02-28,2024-02-29,0.8522432464572993,0.8512798335353104,0.0009634129219895706,0.9994944550244188,134,134,0,0
2024-02-29,2024-03-01,0.8897150396729201,0.888664225407523,0.0010508142653970227,0.9914026599115342,140,140,0,0
2024-03-01,2024-03-04,0.9021973930055346,0.9016018302548826,0.0005955627506523765,1.0,78,77,1,0
2024-03-04,2024-03-05,0.9006594245128848,0.9000549053845832,0.0006045191283018819,1.0,79,79,0,0
2024-03-05,2024-03-06,0.8900215498334985,0.8894293321108422,0.0005922177226560871,1.0,78,78,0,0
2024-03-06,2024-03-07,0.8926852011356844,0.8919136694801236,0.000771531655560478,1.0,102,102,0,0
2024-03-07,2024-03-08,0.8762981391572627,0.875700363704932,0.0005977754523305868,1.0,80,80,0,0
2024-03-08,2024-03-11,0.8829673673206785,0.8824449808063064,0.0005223865143719138,1.0,70,69,1,0
2024-03-11,2024-03-12,0.905646520548598,0.9050613208971797,0.0005851996514183364,1.0,77,76,1,0
2024-03-12,2024-03-13,0.9138334136179206,0.9132116943341706,0.0006217192837502,1.0,81,80,1,0
2024-03-13,2024-03-14,0.9181930346533994,0.9175991268023839,0.0005939078510154538,1.0,77,76,1,0
2024-03-14,2024-03-15,0.908231872551569,0.9075994747185557,0.0006323978330133827,1.0,83,82,1,0
2024-03-15,2024-03-18,0.9235880624374678,0.9230065604415074,0.0005815019959603254,1.0,75,74,1,0
2024-03-18,2024-03-19,0.9322909307932614,0.9317822664517412,0.00050866434151991,1.0,65,64,1,0
2024-03-19,2024-03-20,0.9278733393463561,0.9272389475708459,0.0006343917755100255,1.0,81,81,0,0
2024-03-20,2024-03-21,0.9420558898829823,0.9414421827368652,0.00061370714611688,1.0,76,76,0,0
2024-03-21,2024-03-22,0.941109134348821,0.9405947187525993,0.000514415596221889,1.0,64,64,0,0
2024-03-22,2024-03-25,0.9248673764557401,0.9244702454563117,0.0003971309994283909,1.0,50,50,0,0
2024-03-25,2024-03-26,0.9090760250458173,0.9084428755046499,0.0006331495411676243,1.0,82,82,0,0
2024-03-26,2024-03-27,0.9095416693961818,0.908937921897215,0.0006037474989668474,1.0,78,78,0,0
2024-03-27,2024-03-28,0.8834346020051624,0.8825499507857486,0.0008846512194133484,1.0,118,118,0,0
2024-03-28,2024-03-29,0.9061761091703916,0.9053480164140488,0.0008280927563429018,1.0,108,108,0,0
2024-03-29,2024-04-01,0.9176952199720058,0.9169776880603465,0.0007175319116594691,1.0,92,92,0,0
2024-04-01,2024-04-02,0.9381965746362357,0.9374924303997241,0.0007041442365119917,1.0,88,88,0,0
2024-04-02,2024-04-03,0.9355078442284412,0.9347454036815637,0.0007624405468781249,1.0,96,96,0,0
2024-04-03,2024-04-08,0.9295302286701478,0.9290737597649661,0.00045646890518172886,0.9967950628981592,58,58,0,0
2024-04-08,2024-04-09,0.9108358425124412,0.9103697303979559,0.00046611211448526727,1.0,60,60,0,0
2024-04-09,2024-04-10,0.9250362105630695,0.9243443973368661,0.0006918132262032031,1.0,88,88,0,0
2024-04-10,2024-04-11,0.9001170343521551,0.8992705968802934,0.0008464374718616565,1.0,110,110,0,0
2024-04-11,2024-04-12,0.9042166720055559,0.9037388465879911,0.00047782541756476193,1.0,62,62,0,0
2024-04-12,2024-04-15,0.8941132999672353,0.8937332624666962,0.0003800375005393882,1.0,50,50,0,0
2024-04-15,2024-04-16,0.8815977806732171,0.880812862275973,0.0007849183972442806,1.0,104,104,0,0
2024-04-16,2024-04-17,0.8502165736208882,0.8495078225002768,0.0007087511206108941,1.0,98,98,0,0
2024-04-17,2024-04-18,0.8805619694643202,0.8798606703398014,0.0007012991245187468,1.0,94,94,0,0
2024-04-18,2024-04-19,0.8724419763255282,0.8718030423467434,0.0006389339787846619,1.0,86,86,0,0
2024-04-19,2024-04-22,0.858379506881979,0.8580853988772823,0.00029410800469677347,1.0,40,40,0,0
2024-04-22,2024-04-23,0.8655371250842333,0.8651261039973667,0.0004110210868666359,1.0,56,56,0,0
2024-04-23,2024-04-24,0.871825331012673,0.8712964608303676,0.0005288701823056107,1.0,72,72,0,0
2024-04-24,2024-04-25,0.8820252110185672,0.8815288999614058,0.0004963110571613233,1.0,66,66,0,0
2024-04-25,2024-04-26,0.8860783243121437,0.8854653606925458,0.0006129636195980336,1.0,82,81,1,0
2024-04-26,2024-04-29,0.910491364859682,0.9094264749448652,0.0010648899148172715,1.0,139,137,2,0
2024-04-29,2024-04-30,0.9346404078904308,0.9339645691719122,0.0006758387185183579,1.0,88,85,3,0
2024-04-30,2024-05-06,0.936898626516902,0.9358862810334131,0.0010123454834888319,0.9917445641488586,129,128,1,0
2024-05-06,2024-05-07,0.9421600479140857,0.9414231799339501,0.0007368679801352144,1.0,95,92,3,0
2024-05-07,2024-05-08,0.9447588180630405,0.9442825520291237,0.0004762660339169055,0.9862604269426589,61,60,1,0
2024-05-08,2024-05-09,0.9270556675702468,0.9265647188515029,0.0004909487187438565,1.0,63,62,1,0
2024-05-09,2024-05-10,0.9486693816624616,0.948281701489678,0.0003876801727835663,1.0,49,48,1,0
2024-05-10,2024-05-13,0.9177994790087716,0.9173744787209922,0.00042500028777941475,1.0,55,54,1,0
2024-05-13,2024-05-14,0.9094063711082376,0.9089537046755541,0.00045266643268327664,1.0,59,58,1,0
2024-05-14,2024-05-15,0.9093078014308598,0.9088890382339809,0.0004187631968790328,1.0,55,54,1,0
2024-05-15,2024-05-16,0.9068944251729353,0.9064774406851963,0.000416984487738917,1.0,55,54,1,0
2024-05-16,2024-05-17,0.899793012293958,0.8995166530111306,0.000276359282827267,1.0,37,36,1,0
2024-05-17,2024-05-20,0.9122446122716316,0.9114581967237583,0.0007864155478734121,1.0,103,102,1,0
2024-05-20,2024-05-21,0.9118788481883809,0.9112426400740583,0.000636208114322746,1.0,83,82,1,0
2024-05-21,2024-05-22,0.9023189926870957,0.9019811336754161,0.0003378590116796862,1.0,45,44,1,0
2024-05-22,2024-05-23,0.9018997822678916,0.9014750584172432,0.0004247238506484054,1.0,55,55,0,0
2024-05-23,2024-05-24,0.8853335868209222,0.8849005237642676,0.00043306305665453146,1.0,58,58,0,0
2024-05-24,2024-05-27,0.8762650516458672,0.8757430744196075,0.000521977226259762,1.0,70,70,0,0
2024-05-27,2024-05-28,0.8832037189830839,0.8827955436462702,0.0004081753368135725,1.0,54,54,0,0
