asset_type,stock_code,units,last_mark,market_value
position,000019.XSHE,0.0003202417766178306,39.2193912,0.01255968751575771
position,000028.XSHE,9.121487443599296e-05,139.6136626,0.012734842703608086
position,000156.XSHE,0.0008522338889422635,14.8594448,0.012663722429426896
position,000503.XSHE,0.00014358070846161135,86.9268384,0.012481017041800001
position,000552.XSHE,0.0006199080739504192,18.8902886,0.011710242422393562
position,000557.XSHE,0.00033770105843547216,37.1224984,0.01253630700144912
position,000597.XSHE,0.00044155876967530845,26.7815625,0.011825633787482378
position,000650.XSHE,8.841652356044804e-05,139.303704,0.01231674922677368
position,000690.XSHE,6.015291234232878e-05,208.120272,0.012519040478277623
position,000712.XSHE,8.082687982046415e-05,159.24205,0.012871038037714343
position,000756.XSHE,0.00038382328147525417,32.9437635,0.012644583410714706
position,000761.XSHE,0.0015780221026363373,8.0066814,0.012634720217967252
position,000767.XSHE,0.0004185599360951374,30.406085999999995,0.01272676941306325
position,000778.XSHE,0.00020078463993528935,63.505486,0.012750926140425558
position,000813.XSHE,0.0008019809992057393,15.16015,0.012158152245108888
position,000848.XSHE,5.166478822316034e-05,246.379818,0.012729161119430787
position,000923.XSHE,0.0003248852439718751,39.247477,0.012750926140425558
position,000990.XSHE,0.0005013023832327172,25.3427699,0.01270439094858837
position,001227.XSHE,0.004753207909410317,2.68714,0.012772535101692838
position,002010.XSHE,0.0002336384959698119,54.7226688,0.01278532203388615
position,002075.XSHE,0.0007409729745946642,17.2083552,0.012750926140425558
position,002110.XSHE,0.0011580427484203224,11.010756000000002,0.01275092614042556
position,002219.XSHE,0.0002567197420300547,47.65131,0.012233032010594166
position,002275.XSHE,0.00041657311962306476,30.2891226,0.012617634292127474
position,002287.XSHE,0.0003103618718744222,40.0120438,0.01241821281128937
position,002550.XSHE,0.0001515707856183104,84.125223,0.012750926140425558
position,002737.XSHE,0.0001471103271372194,84.61860379999999,0.012448270486912756
position,002761.XSHE,0.0004675906108132432,26.78998,0.012526743111874569
position,002832.XSHE,0.0001454060762370735,87.6987039,0.012751924425175936
position,002941.XSHE,0.0007299019377615481,17.0454242,0.012441488153547587
position,300009.XSHE,6.590760136202022e-05,193.4667,0.012750926140425558
position,300026.XSHE,7.190557191980821e-05,177.817016,0.012786034232553686
position,300171.XSHE,8.80194810669473e-05,144.8648184,0.01275092614042556
position,300183.XSHE,0.0001629276233179639,78.261291,0.012750926140425558
position,300315.XSHE,0.00020735599654011518,59.724856,0.012384307034094879
position,300357.XSHE,8.079035125373074e-05,158.03765040000002,0.0127679172871303
position,300406.XSHE,0.00020136678328340414,60.9249468,0.012268260558828526
position,300459.XSHE,0.0002075022572927179,61.463706,0.012753857736575969
position,300463.XSHE,0.000340047578956774,37.1666957,0.012638444890608143
position,300595.XSHE,6.676447120795507e-05,190.983706,0.012750926140425558
position,300685.XSHE,0.00012309040932610317,103.5229897,0.012742687176834962
position,300702.XSHE,0.0001954356636262318,64.8896222,0.012681746377112465
position,300705.XSHE,0.0001940931560191589,63.0184332,0.012231446587170543
position,300725.XSHE,0.00012554278137236834,101.5663824,0.01275092614042556
position,300841.XSHE,7.283662378648066e-05,175.0620152,0.012750926140425558
position,300917.XSHE,0.00018436738124029409,70.611136,0.013018390230722255
position,301047.XSHE,8.620040479166833e-05,147.9218824,0.01275092614042556
position,301207.XSHE,0.0004182140245684552,30.488997,0.012750926140425558
position,301500.XSHE,0.0005895073964455239,21.6297984,0.01275092614042556
position,301602.XSHE,0.0005811359683682731,21.8789032,0.01271461759796771
position,600017.XSHG,0.0011222909340908092,10.9144568,0.012249195917165785
position,600022.XSHG,0.001388783772719199,9.1813617,0.012750926140425558
position,600056.XSHG,9.123423070566502e-05,136.228128,0.012428668458552864
position,600059.XSHG,0.000166273344418381,76.300894,0.012686804827492381
position,600123.XSHG,0.00015069601845608084,76.600458,0.011543384032512247
position,600133.XSHG,0.00031268183435785764,40.6248322,0.012702647052776161
position,600155.XSHG,0.0006851494335027647,18.7775523,0.012865429320913536
position,600197.XSHG,0.0002122114187939588,59.72932,0.01267524374079838
position,600252.XSHG,0.0001171783965194734,108.07409400000002,0.012663949040214844
position,600305.XSHG,0.00015663394044281717,79.486624,0.012450303129616603
position,600395.XSHG,0.000401479182997353,31.419435199999995,0.012614249174334272
position,600420.XSHG,0.0001255310456235891,99.9095988,0.012541756405197281
position,600422.XSHG,9.231084196739396e-05,138.13032,0.012750926140425558
position,600502.XSHG,0.00016820730294208973,76.01355000000001,0.012786034232553686
position,600507.XSHG,8.451837758021126e-05,150.86572299999995,0.012750926140425558
position,600508.XSHG,0.00026600961613017866,46.6240104,0.012402435108953459
position,600529.XSHG,7.331017172551882e-05,173.9312,0.012750926140425558
