asset_type,stock_code,units,last_mark,market_value
position,000028.XSHE,8.554252743859245e-05,139.6136626,0.011942905563762889
position,000049.XSHE,5.5600817464414685e-05,218.606022,0.012154673525843821
position,000089.XSHE,0.00023685142632172017,50.4886225,0.011958302252143893
position,000498.XSHE,0.0006295082987806709,19.255271,0.012121352889770787
position,000650.XSHE,8.469769995603217e-05,139.303704,0.01179870332415592
position,000778.XSHE,0.00019087095703465348,63.505486,0.012121352889770787
position,000828.XSHE,0.0002538713247417434,47.44454950000001,0.012044810633340222
position,000848.XSHE,4.777132324083819e-05,246.379818,0.011769889925696884
position,000885.XSHE,0.00038979980291988463,30.3247377,0.011820576779057195
position,001914.XSHE,0.00012970388146190282,89.6682976,0.011630326242801026
position,002045.XSHE,0.00015059685020595291,83.6487548,0.012597238996530086
position,002061.XSHE,0.0008453073155142625,14.3395812,0.012121352889770787
position,002063.XSHE,0.00010921767054439317,108.85778100000002,0.011889193261451705
position,002079.XSHE,0.00025394931987781353,48.3224715,0.012271458772240028
position,002219.XSHE,0.00025437606835511525,47.65131,0.012121352889770787
position,002267.XSHE,0.0004764397656021788,24.009825,0.011439235395149332
position,002275.XSHE,0.00038701236512147055,30.2891226,0.011722264974880185
position,002351.XSHE,0.00013205540394415109,92.24272,0.012181149650507225
position,002354.XSHE,0.0006855754463602539,18.0201681,0.012354184788644309
position,002399.XSHE,0.0002639015393296475,45.88296,0.012108583773000642
position,002468.XSHE,0.0003772870707596247,30.6603804,0.01156776510949181
position,002507.XSHE,0.0001164897587150062,101.774882,0.011855731447428228
position,002550.XSHE,0.00013611213197217925,84.125223,0.01145046345516501
position,002612.XSHE,0.00024342270037065072,50.2562256,0.012233506145988626
position,002635.XSHE,0.0001717656756897219,71.1695754,0.01222449020713161
position,002649.XSHE,0.0001791159951569556,68.496349,0.01226879171575314
position,002675.XSHE,0.0001711909153688247,70.80605220000001,0.012121352889770787
position,002705.XSHE,0.00038849939157518964,30.918564,0.012011843302378561
position,002755.XSHE,0.0003997202845498859,29.3819472,0.011744560295413722
position,002791.XSHE,0.00034811968284796944,33.6174553,0.01170289787719179
position,002832.XSHE,0.0001307439488797363,87.6987039,0.011466074859520729
position,002867.XSHE,0.00031496180380563967,38.519006,0.012132015610560256
position,002901.XSHE,0.00023207643931874225,52.230002,0.012121352889770787
