signal_date,execution_date,pre_trade_nav,end_nav,total_cost,buy_scale,attempted_order_count,executed_order_count,blocked_order_count,replacement_buy_count
2024-01-02,2024-01-03,1.0,0.9994003597841296,0.000599640215870476,0.9994003597841296,100,100,0,0
2024-01-03,2024-01-04,0.9970734445553432,0.9967666546787752,0.00030678987656792964,1.0,36,36,0,0
2024-01-04,2024-01-05,0.9920427593817858,0.9917019510433163,0.00034080833846955583,1.0,40,40,0,0
2024-01-05,2024-01-08,0.9765365723788513,0.9761356881949543,0.00040088418389678474,1.0,48,48,0,0
2024-01-08,2024-01-09,0.9539694836737483,0.953675615245043,0.0002938684287053053,1.0,36,36,0,0
2024-01-09,2024-01-10,0.9529086958071564,0.9526160047595895,0.00029269104756703157,1.0,36,36,0,0
2024-01-10,2024-01-11,0.9475489280932203,0.9473037229534945,0.0002452051397257791,1.0,30,30,0,0
2024-01-11,2024-01-12,0.9648615759949459,0.9644349787209551,0.0004265972739908617,1.0,52,52,0,0
2024-01-12,2024-01-15,0.959513185946579,0.959136404806461,0.00037678114011813093,1.0,46,46,0,0
2024-01-15,2024-01-16,0.9588507973782332,0.95857154400216,0.00027925337607314526,1.0,34,34,0,0
2024-01-16,2024-01-17,0.9516691922210311,0.9514093716217199,0.00025982059931116316,1.0,32,32,0,0
2024-01-17,2024-01-18,0.9246989713607925,0.9244625159227073,0.0002364554380852108,1.0,30,30,0,0
2024-01-18,2024-01-19,0.920058000167715,0.9197918242822932,0.0002661758854217739,1.0,34,34,0,0
2024-01-19,2024-01-22,0.9101691981265762,0.9098900377647068,0.0002791603618693835,1.0,36,36,0,0
2024-01-22,2024-01-23,0.8544490797831052,0.85412877635289,0.00032030343021509947,1.0,44,44,0,0
2024-01-23,2024-01-24,0.8687349247117745,0.8683659360501483,0.00036898866162617854,1.0,50,50,0,0
2024-01-24,2024-01-25,0.8750395149959191,0.8747408031974881,0.00029871179843099776,1.0,40,40,0,0
2024-01-25,2024-01-26,0.902901384941463,0.9025640150835743,0.00033736985788869104,1.0,44,44,0,0
2024-01-26,2024-01-29,0.8964079091509726,0.8960867077280955,0.000321201422876998,1.0,42,42,0,0
2024-01-29,2024-01-30,0.86589009204725,0.8655091068934163,0.00038098515383350786,1.0,52,52,0,0
