model_name,elapsed_trading_observations,cumulative_return,cagr,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,average_cash_ratio,gross_turnover,one_way_turnover,average_gross_turnover,average_one_way_turnover,average_turnover,annualized_gross_turnover,annualized_one_way_turnover,annualized_turnover,total_cost,buy_attempt_count,sell_attempt_count,buy_count,sell_count,buy_fill_rate,sell_fill_rate,blocked_sale_days,ending_nav
ridge_rank_regression,484,0.21182458938450321,0.10520754809647537,0.10520754809647537,0.2875027925986847,0.4887187343714797,0.3110260908937311,0.5165289256198347,0.02206973181442268,216.42205814788196,108.21102907394098,0.44715301270223545,0.22357650635111773,0.22357650635111773,112.68255920096334,56.34127960048167,56.34127960048167,0.18250627223636365,10904,10790,10862,10762,0.9961482024944974,0.9974050046339203,19,1.2118245893845032
xgboost_rank_regression,484,0.40297612749193723,0.19278829755567162,0.19278829755567162,0.30242275745996555,0.7296604496901578,0.3050615942588665,0.5495867768595041,0.018140202727484192,195.55593221934942,97.77796610967471,0.4040411822713831,0.20202059113569154,0.20202059113569154,101.81837793238854,50.90918896619427,50.90918896619427,0.1788347942044858,9876,10150,9822,9721,0.9945321992709599,0.9577339901477833,406,1.4029761274919372
lightgbm_rank_regression,484,0.33982702471396053,0.164526405415246,0.164526405415246,0.2885244713230664,0.6688535111197006,0.29669184854269026,0.5557851239669421,0.01747805709716987,210.82985522453217,105.41492761226608,0.4355988744308516,0.2177994372154258,0.2177994372154258,109.7709163565746,54.8854581782873,54.8854581782873,0.18269046087823665,10634,10508,10586,10486,0.9954861764152718,0.9979063570612866,15,1.3398270247139605
lightgbm_lambdarank,484,0.3390006690980971,0.16415239217129862,0.16415239217129862,0.28926280921781944,0.6672218603762698,0.30549685329064513,0.5392561983471075,0.017335343149210317,164.68100326517848,82.34050163258924,0.3402500067462365,0.17012500337311826,0.17012500337311826,85.74300170005161,42.871500850025804,42.871500850025804,0.14038251789172793,8346,8624,8283,8182,0.992451473759885,0.9487476808905381,417,1.3390006690980971
mlp_top100_hybrid_rank,484,0.2745511896805781,0.1346330892004819,0.1346330892004819,0.324941434410712,0.5463287893237857,0.3179847864563259,0.5330578512396694,0.01662290802955687,293.9679662342438,146.9839831171219,0.6073718310624873,0.30368591553124363,0.30368591553124363,153.0577014277468,76.5288507138734,76.5288507138734,0.257728525449732,14868,14664,14739,14639,0.9913236481033091,0.9982951445717403,25,1.2745511896805781
