asset_type,stock_code,units,last_mark,market_value
position,000089.XSHE,0.0002702714688980334,50.4886225,0.0136456341657133
position,000552.XSHE,0.0007255857918430156,18.8902886,0.01370652501197409
position,000650.XSHE,9.949379441989795e-05,139.303704,0.013859854087706317
position,000828.XSHE,0.00028849465188143195,47.44454950000001,0.013687498791673868
position,000848.XSHE,5.760731067276741e-05,246.379818,0.014193278719025893
position,000860.XSHE,0.00031276163984843037,40.628664,0.012707087577490889
position,000885.XSHE,0.0004579613096158494,30.3247377,0.01388755659084912
position,000930.XSHE,0.00037609625238652474,36.9157083,0.013883859545824126
position,000990.XSHE,0.0005488537921974293,25.3427699,0.013909475364401866
position,001356.XSHE,0.0010153622204188805,13.03393,0.01323416010558426
position,002041.XSHE,0.00010597873602844083,131.192259,0.01390358978553584
position,002045.XSHE,0.0001744674385590978,83.6487548,0.014593983988614037
position,002063.XSHE,0.00012890342355897344,108.85778100000002,0.014032140651932973
position,002068.XSHE,0.0002659657409712975,52.7592035,0.014032140651932973
position,002079.XSHE,0.0002901806781284884,48.3224715,0.014022247548714553
position,002101.XSHE,0.00026197383287450285,53.691136400000005,0.014065672794095738
position,002275.XSHE,0.00046415111394736337,30.2891226,0.014058729995278258
position,002351.XSHE,0.000152987051472291,92.24272,0.014111941752584126
position,002458.XSHE,0.0001897867166703611,74.22085359999998,0.014086132113215548
position,002550.XSHE,0.00016685656484701175,84.125223,0.014036845726768825
position,002605.XSHE,0.00012150773562267868,114.7549041,0.013943608548788646
position,002610.XSHE,0.000448322971218067,4.625037,0.002073510329833495
position,002612.XSHE,0.0002755450458497506,50.2562256,0.013847853987187412
position,002635.XSHE,0.00019883403455673044,71.1695754,0.014150933814471432
position,002649.XSHE,0.00020638610908556821,68.496349,0.01413669495667715
position,002755.XSHE,0.000476840396597755,29.3819472,0.014010499355662296
position,002761.XSHE,0.0005208928932705527,26.78998,0.013954710192860242
position,002832.XSHE,0.00014282515934649343,87.6987039,0.012525581358998445
position,002840.XSHE,0.0005992213058794412,23.4172926,0.014032140651932975
position,002929.XSHE,0.00034276930716035226,41.3674954,0.014179507737217061
position,300087.XSHE,6.943393215022497e-05,203.80437,0.014150938798499345
position,300119.XSHE,0.00011199671247973458,121.7781122,0.013638748218388258
position,300232.XSHE,0.00019641502588440906,71.749188,0.014092618618205332
position,300406.XSHE,0.00022871511818376876,60.9249468,0.013934456407701825
