asset_type,stock_code,units,last_mark,market_value
position,000498.XSHE,0.0006892320812130692,19.255271,0.013271350505651655
position,000597.XSHE,0.0004988585307118321,26.7815625,0.013360210918917101
position,000650.XSHE,8.630127898374939e-05,139.303704,0.012022087822373647
position,000767.XSHE,0.0004370640210945205,30.406085999999995,0.0132894062129058
position,000813.XSHE,0.0008559488875113628,15.16015,0.012976313527005387
position,000828.XSHE,0.0002676537870904178,47.44454950000001,0.012698713350473791
position,000848.XSHE,5.404076914486454e-05,246.379818,0.013314554866491742
position,000885.XSHE,0.0004347042907715013,30.3247377,0.013182293594710306
position,000899.XSHE,0.0003448367037253713,38.3596416,0.013227812365430629
position,000930.XSHE,0.0003485424717460548,36.9157083,0.01286669221713835
position,001356.XSHE,0.0009682495555297679,13.03393,0.012620096929306109
position,001914.XSHE,0.00014389246272830498,89.6682976,0.012902592170318559
position,002004.XSHE,0.00011032940136719142,118.203826,0.013041357361891657
position,002045.XSHE,0.00016626757584702287,83.6487548,0.01390807568321802
position,002061.XSHE,0.0008853713387585437,14.3395812,0.012695854204280845
position,002063.XSHE,0.0001213098846054444,108.85778100000002,0.01320552485151474
position,002068.XSHE,0.0002481293074021012,52.7592035,0.013091104623541513
position,002077.XSHE,0.0006117706854978617,22.002606600000004,0.013460549722421777
position,002079.XSHE,0.00027980843815623557,48.3224715,0.013521035278264206
position,002101.XSHE,0.0002350802653088097,53.691136400000005,0.012621726589643492
position,002212.XSHE,0.0004669968278420048,29.4066996,0.013732835430502752
position,002239.XSHE,0.0004838760907923347,27.4395,0.013277317993296267
position,002275.XSHE,0.00042502268355357973,30.2891226,0.012873564169935379
position,002351.XSHE,0.00014386586552944566,92.24272,0.013270578751590309
position,002550.XSHE,0.00015579366853569576,84.125223,0.01310617710755349
position,002605.XSHE,0.00011536820300305387,114.7549041,0.01323906707180478
position,002610.XSHE,0.0004244485649146536,4.625037,0.0019630903173271748
position,002635.XSHE,0.00018731241211375786,71.1695754,0.013330944837285964
position,002649.XSHE,0.00019660154390906806,68.496349,0.01346648796553435
position,002705.XSHE,0.00043119355036669755,30.918564,0.013331885383399961
position,002761.XSHE,0.0004938286688550059,26.78998,0.01322966016205223
position,002777.XSHE,0.0001484515235551412,90.2116696,0.013392059794573015
position,002807.XSHE,0.0017000471904908055,7.5978992,0.012916787188592339
position,002832.XSHE,0.00013436760771797722,87.6987039,0.011783865043010239
position,002839.XSHE,0.0018061383507331067,7.365022199999999,0.013302249049420716
position,003012.XSHE,0.0017477685291009794,7.56393,0.01321999881032277
position,300075.XSHE,0.00010359017281682418,129.855231,0.013451725820458626
position,300079.XSHE,0.0001994641895471642,67.140171,0.013392059794573016
position,300087.XSHE,6.605076614705135e-05,203.80437,0.013461434782617129
