asset_type,stock_code,units,last_mark,market_value
position,000012.XSHE,9.041743493739506e-05,148.209814,0.013400751214428422
position,000028.XSHE,9.598452590433239e-05,139.6136626,0.013400751214428422
position,000498.XSHE,0.0007096764528793162,19.255271,0.013665012422509963
position,000552.XSHE,0.0007093989667488945,18.8902886,0.013400751214428422
position,000650.XSHE,9.290710369597711e-05,139.303704,0.012942303672761703
position,000828.XSHE,0.0002768862214151384,47.44454950000001,0.013136742037798497
position,000848.XSHE,5.5282599914990186e-05,246.379818,0.013620516905622097
position,000860.XSHE,0.0003155002216118842,40.628664,0.012818352495794782
position,000885.XSHE,0.0004396187262780992,30.3247377,0.013331322562391456
position,000930.XSHE,0.000360225531916868,36.9157083,0.013297980658455439
position,001227.XSHE,0.004912162700563166,2.68714,0.013199668879191304
position,001356.XSHE,0.0008603171588725159,13.03393,0.011213313626543252
position,002063.XSHE,0.00012313249833617815,108.85778100000002,0.013403930537862548
position,002077.XSHE,0.000611587028473231,22.002606600000004,0.013456508789159502
position,002079.XSHE,0.0002782340976652697,48.3224715,0.01344495925475821
position,002101.XSHE,0.0002557696872060997,53.691136400000005,0.013732565162768034
position,002275.XSHE,0.00043598349432734054,30.2891226,0.013205557511257222
position,002351.XSHE,0.0001460559928675429,92.24272,0.013472602054402757
position,002550.XSHE,0.00015904694039651395,84.125223,0.013379859328324445
position,002605.XSHE,0.00010799392666529758,114.7549041,0.012392832697858657
position,002635.XSHE,0.000186878955816121,71.1695754,0.013300095936628691
position,002649.XSHE,0.00019564183215704567,68.496349,0.013400751214428422
position,002761.XSHE,0.0005004519073640417,26.78998,0.01340709658924453
position,002832.XSHE,0.0001261781443071008,87.6987039,0.011065659716239904
position,002929.XSHE,0.0003288755010032352,41.3674954,0.013604755774924029
position,300087.XSHE,6.633369093911827e-05,203.80437,0.013519096091621708
position,300119.XSHE,0.00011036979189263052,121.7781122,0.013440624900591409
position,300127.XSHE,0.00016144893050878975,83.2241664,0.013436452657765555
position,300184.XSHE,0.00015648661384629048,87.44117119999999,0.013683372791841774
position,300232.XSHE,0.00018136354390579058,71.749188,0.013012687008042824
position,300284.XSHE,0.00042332944560061344,32.1007069,0.013589174455364787
position,300406.XSHE,0.00021835320929888052,60.9249468,0.01330315766014356
position,300463.XSHE,0.0003512510214326719,37.1666957,0.013054839827902294
position,300470.XSHE,8.910297790281409e-05,152.69744400000002,0.013605796978548194
position,300482.XSHE,0.00013487636290614253,100.2994696,0.01352802766106321
position,300595.XSHE,7.007910148403528e-05,190.983706,0.013383966514571157
position,300633.XSHE,0.0004996136754145691,26.822226600000004,0.013400751214428424
position,300641.XSHE,0.0004020383360466438,33.407664999999994,0.013431162047803698
position,300705.XSHE,0.00021185105093692708,63.0184332,0.013350521301818536
position,300768.XSHE,0.00047020264171240974,28.4999488,0.013400751214428422
position,300770.XSHE,0.00013552668277374126,98.8790616,0.013400751214428422
position,300861.XSHE,0.000507333577230126,26.798575300000003,0.013595817071619899
position,301047.XSHE,9.156079985569758e-05,147.9218824,0.013543845868704434
position,301325.XSHE,0.0002149757139576654,62.336116800000006,0.013400751214428422
position,301458.XSHE,0.0004139176006807789,32.8716368,0.013606149034705996
